ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
617219933,Photo,White-bearded Manakin,Manacus manacus,,Diego Oscar / Sandpiper Birding & Tours,2024-02-20,2024,2,20,1514,Brazil,BR-SC,Santa Catarina,,Bombinhas--PNM Morro do Macaco,-27.2008414,-48.4980196,Adult Female – 1,,Unspecified,"","",,,,,,,S162398155,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,815,1200
617210192,Photo,White-bearded Manakin,Manacus manacus,,Luis Hernánadez(@Birdsbyluishernandez),2024-04-10,2024,4,10,903,Colombia,CO-ANT,Antioquia,,RN Cañon del Río Claro,5.8922594,-74.8552877,Adult Female – 1,,Unspecified,"","",,,,,,,S168090554,"",,,,Visto,Manacus manacus,whbman1,Species,15475,,3.00,1,,1913,3232
617210190,Photo,White-bearded Manakin,Manacus manacus,,Luis Hernánadez(@Birdsbyluishernandez),2024-04-10,2024,4,10,903,Colombia,CO-ANT,Antioquia,,RN Cañon del Río Claro,5.8922594,-74.8552877,Adult Male – 1,,Unspecified,"","",,,,,,,S168090554,"",,,,Visto,Manacus manacus,whbman1,Species,15475,,1.00,1,,1769,2880
617207490,Photo,White-bearded Manakin,Manacus manacus,,Jordan Webber,2022-09-04,2022,9,4,740,Colombia,CO-MAG,Magdalena,,Minca (y alrededores/general area),11.1436242,-74.1168702,"",,Unspecified,"","",,,,,,,S118087829,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,1182,665
617203652,Photo,White-bearded Manakin,Manacus manacus,,Jhon Carlos Andres Rivera Higuera,2024-04-10,2024,4,10,1453,Colombia,CO-MET,Meta,,Ruta Maria Auxiliadora,3.7904968,-73.7758233,"",,Unspecified,"","",,,,,,,S168069523,"",,,,,Manacus manacus,whbman1,Species,15475,,3.00,2,,1403,1871
617151144,Photo,White-bearded Manakin,Manacus manacus,,Justin Harris,2024-04-09,2024,4,9,717,Colombia,CO-MET,Meta,,Reserva la Manigua,4.1392600,-73.6726500,"",,Unspecified,"","",,,,,,,S167878160,"",,,,Female,Manacus manacus,whbman1,Species,15475,,.00,0,,3456,4608
617151142,Photo,White-bearded Manakin,Manacus manacus,,Justin Harris,2024-04-09,2024,4,9,717,Colombia,CO-MET,Meta,,Reserva la Manigua,4.1392600,-73.6726500,"",,Unspecified,"","",,,,,,,S167878160,"",,,,Female,Manacus manacus,whbman1,Species,15475,,.00,0,,3456,4608
617151140,Photo,White-bearded Manakin,Manacus manacus,,Justin Harris,2024-04-09,2024,4,9,717,Colombia,CO-MET,Meta,,Reserva la Manigua,4.1392600,-73.6726500,"",,Unspecified,"","",,,,,,,S167878160,"",,,,Female,Manacus manacus,whbman1,Species,15475,,.00,0,,3456,4608
617151137,Photo,White-bearded Manakin,Manacus manacus,,Justin Harris,2024-04-09,2024,4,9,717,Colombia,CO-MET,Meta,,Reserva la Manigua,4.1392600,-73.6726500,"",,Unspecified,"","",,,,,,,S167878160,"",,,,Female,Manacus manacus,whbman1,Species,15475,,.00,0,,3456,4608
617117457,Photo,White-bearded Manakin,Manacus manacus,,Jhan C. Carrillo-Restrepo,2024-03-24,2024,3,24,624,Colombia,CO-ANT,Antioquia,,Refugio de las aves - La Piñuela,6.0044558,-75.1506580,"",,Unspecified,"","",,,,,,,S166103495,"",,,,,Manacus manacus,whbman1,Species,15475,,.00,0,,1463,2048
