Folder,Lek,Pista,DateRange,DateRange_Folder,FileName,studyPeriod,Male,PresentYN,DisplayYN,Snaps,quietSnaps,Grunts,Rolls,Calls,FemVisitation,courtshipSuccess,Copulation,JuvPresent,Gardening,vidLength,Notes,Observer,uncertaintyAboutFemVisitation
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 14,Juvenile Pista (camera R2),11.20.21-11.22.21 (NA),11.20.21-11.22.21 (NA),NA,,,N,,,,,,,,,,,,3,added this folder to account for camera trapping during this period with no male activity (NA),HLA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 14,Juvenile Pista (camera R2),11.22.21-11.25.21,11.22.21-11.25.21,RCNX0007.AVI,,JUV,Y,N,,,,,,,,,1,,3,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 14,Juvenile Pista (camera R2),11.22.21-11.25.21,11.22.21-11.25.21,RCNX0008.AVI,,JUV,Y,Y,,,,,1,,,,2,,3,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 14,Juvenile Pista (camera R2),11.22.21-11.25.21,11.22.21-11.25.21,RCNX0009.AVI,,JUV,Y,N,,,,,,,,,1,,3,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 14,Juvenile Pista (camera R2),11.22.21-11.25.21,11.22.21-11.25.21,RCNX0010.AVI,,JUV,Y,Y,,1,,,,,,,1,,3,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 14,Juvenile Pista (camera R2),11.22.21-11.25.21,11.22.21-11.25.21,RCNX0011.AVI,,JUV,Y,Y,2,,,,,,,,1,,3,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 14,Juvenile Pista (camera R2),11.22.21-11.25.21,11.22.21-11.25.21,RCNX0012.AVI,,JUV,Y,Y,1,,,,,,,,2,,3,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 14,Juvenile Pista (camera R2),11.22.21-11.25.21,11.22.21-11.25.21,RCNX0014.AVI,,JUV,Y,N,,,,,,,,,1,,3,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 14,Juvenile Pista (camera R2),11.25.21-11.29.21,11.25.21-11.29.21,RCNX0001.AVI,,JUV,Y,Y,1,,,,,,,,1,,3,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 14,Juvenile Pista (camera R2),11.25.21-11.29.21,11.25.21-11.29.21,RCNX0002.AVI,,JUV,Y,Y,2,,1,,,,,,1,,3,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 14,Juvenile Pista (camera R2),11.25.21-11.29.21,11.25.21-11.29.21,RCNX0008.AVI,,JUV,Y,Y,2,,,,,,,,1,,3,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 14,Juvenile Pista (camera R2),11.25.21-11.29.21,11.25.21-11.29.21,RCNX0009.AVI,,UNK,N,Y,,,,,1,,,,,,3,male not in frame,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 14,Juvenile Pista (camera R2),11.25.21-11.29.21,11.25.21-11.29.21,RCNX0010.AVI,,UNK,N,Y,,,,,1,,,,,,3,male not in frame,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 14,Juvenile Pista (camera R2),11.25.21-11.29.21,11.25.21-11.29.21,RCNX0011.AVI,,UNK,Y,N,,,,,,,,,,,3,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 14,Juvenile Pista (camera R2),11.25.21-11.29.21,11.25.21-11.29.21,RCNX0012.AVI,,JUV,Y,Y,2,,1,,,,,,1,,3,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 14,Juvenile Pista (camera R2),11.25.21-11.29.21,11.25.21-11.29.21,RCNX0013.AVI,,JUV,Y,Y,2,,,,,,,,1,,3,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 14,Juvenile Pista (camera R2),11.25.21-11.29.21,11.25.21-11.29.21,RCNX0014.AVI,,JUV,Y,N,,,,,,,,,1,,3,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 14,Juvenile Pista (camera R2),11.25.21-11.29.21,11.25.21-11.29.21,RCNX0015.AVI,,JUV,Y,Y,,1,,,,,,,1,,3,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 14,Juvenile Pista (camera R2),11.25.21-11.29.21,11.25.21-11.29.21,RCNX0016.AVI,,JUV,Y,Y,,,,,,,,,2,,3,,STK,
