Folder,Lek,Pista,DateRange,DateRange_Folder,FileName,studyPeriod,Male,PresentYN,DisplayYN,Snaps,quietSnaps,Grunts,Rolls,Calls,FemVisitation,courtshipSuccess,Copulation,JuvPresent,Gardening,vidLength,Notes,Observer,someUncertaintyAboutFemaleVisitation
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 1 (YYR),11.19.21-11.21.21,11.19.21-11.21.21,LM.P1_11.19.21-11.21.21_YYR-1-female-visitation.MP4,,YYR,Y,Y,11,,,2,,1,1,,,,30,9 snaps heard off camera,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 1 (YYR),11.24.21-11.30.21,11.24.21-11.30.21,LM.P1_11.24.21-11.30.21_0002.MP4,,YYR,Y,Y,3,1,1,,,,,,,,30,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 2 (YYR),1.13.22-1.20.22,1.13.22-1.20.22,LM.P2_1.13.22-1.20.22_0001.MP4,,,N,N,,,,,,,,,,,30,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 2 (YYR),1.13.22-1.20.22,1.13.22-1.20.22,LM.P2_1.13.22-1.20.22_0002.MP4,,,N,N,,,,,,,,,,,30,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 2 (YYR),1.13.22-1.20.22,1.13.22-1.20.22,LM.P2_1.13.22-1.20.22_0003.MP4,,YYR,Y,Y,5,2,1,,,,,,,2,30,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 2 (YYR),1.13.22-1.20.22,1.13.22-1.20.22,LM.P2_1.13.22-1.20.22_0004.MP4,,,N,N,,,,,,,,,,,30,all sound is off-screen,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 2 (YYR),1.13.22-1.20.22,1.13.22-1.20.22,LM.P2_1.13.22-1.20.22_0005.MP4,,,N,N,,,,,,,,,,,30,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 2 (YYR),1.13.22-1.20.22,1.13.22-1.20.22,LM.P2_1.13.22-1.20.22_0006.MP4,,YYR,Y,Y,6,,1,,,,,,,1,30,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 2 (YYR),1.13.22-1.20.22,1.13.22-1.20.22,LM.P2_1.13.22-1.20.22_0007.MP4,,YYR,Y,Y,4,1,1,,,,,,,,30,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 2 (YYR),1.13.22-1.20.22,1.13.22-1.20.22,LM.P2_1.13.22-1.20.22_0008.MP4,,YYR,Y,Y,10,1,2,,,,,,,,30,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 2 (YYR),1.13.22-1.20.22,1.13.22-1.20.22,LM.P2_1.13.22-1.20.22_0009.MP4,,YYR,Y,N,,,,,,,,,,,30,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 2 (YYR),1.13.22-1.20.22,1.13.22-1.20.22,LM.P2_1.13.22-1.20.22_0010.MP4,,YYR,Y,Y,5,1,1,,,,,,,2,30,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 2 (YYR),1.13.22-1.20.22,1.13.22-1.20.22,LM.P2_1.13.22-1.20.22_0011.MP4,,YYR,Y,Y,12,,3,,,,,,,1,30,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 2 (YYR),1.13.22-1.20.22,1.13.22-1.20.22,LM.P2_1.13.22-1.20.22_0012.MP4,,YYR,Y,Y,4,1,,,,,,,,1,30,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 2 (YYR),1.13.22-1.20.22,1.13.22-1.20.22,LM.P2_1.13.22-1.20.22_0013.MP4,,YYR,Y,Y,2,3,,,1,1,1,,,,30,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 2 (YYR),1.13.22-1.20.22,1.13.22-1.20.22,LM.P2_1.13.22-1.20.22_0014.MP4,,YYR,Y,Y,8,1,1,,,,,,,,30,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 2 (YYR),1.13.22-1.20.22,1.13.22-1.20.22,LM.P2_1.13.22-1.20.22_0015.MP4,,YYR,Y,Y,1,,,,,1,1,,,,30,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 2 (YYR),1.13.22-1.20.22,1.13.22-1.20.22,LM.P2_1.13.22-1.20.22_0016.MP4,,YYR,Y,Y,2,,1,,,1,1,,,,30,almost certainly same visitation as last video (continuation),STK,Y
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 2 (YYR),1.13.22-1.20.22,1.13.22-1.20.22,LM.P2_1.13.22-1.20.22_0017.MP4,,YYR,Y,Y,1,1,1,,,1,1,,,,30,"technically she landed on a different sapling than the male was on, but I think this was due to the orientation of the saplings on the court (in previous video, another female had issues landing on the intended sapling)… counting",STK,Y
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 2 (YYR),1.13.22-1.20.22,1.13.22-1.20.22,LM.P2_1.13.22-1.20.22_0018.MP4,,YYR,Y,Y,1,,,,,,,,,,30,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 2 (YYR),1.13.22-1.20.22,1.13.22-1.20.22,LM.P2_1.13.22-1.20.22_0019.MP4,,YYR,Y,Y,2,2,,1,1,,,,,,30,both roll and call are off camera,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 2 (YYR),1.13.22-1.20.22,1.13.22-1.20.22,LM.P2_1.13.22-1.20.22_0020.MP4,,YYR,Y,Y,12,,2,,,,,,,,30,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 2 (YYR),1.13.22-1.20.22,1.13.22-1.20.22,LM.P2_1.13.22-1.20.22_0021.MP4,,YYR,Y,Y,9,,2,,2,,,,,,30,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 2 (YYR),1.13.22-1.20.22,1.13.22-1.20.22,LM.P2_1.13.22-1.20.22_0022.MP4,,YYR,Y,Y,3,4,,,,,,,,,30,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 2 (YYR),1.13.22-1.20.22,1.13.22-1.20.22,LM.P2_1.13.22-1.20.22_0023.MP4,,YYR,Y,Y,,4,,,,,,,,,30,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 2 (YYR),1.13.22-1.20.22,1.13.22-1.20.22,LM.P2_1.13.22-1.20.22_0024.MP4,,YYR,Y,Y,,3,,2,,1,0,,,,30,female did not join dance,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 2 (YYR),1.13.22-1.20.22,1.13.22-1.20.22,LM.P2_1.13.22-1.20.22_0025.MP4,,YYR,Y,Y,,2,,1,,,,,,,30,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 2 (YYR),1.13.22-1.20.22,1.13.22-1.20.22,LM.P2_1.13.22-1.20.22_0026.MP4,,YYR,Y,Y,9,,2,1,2,,,,,,30,went off camera for roll and calls,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 2 (YYR),1.13.22-1.20.22,1.13.22-1.20.22,LM.P2_1.13.22-1.20.22_0027.MP4,,YYR,Y,Y,4,2,,1,,,,,,,30,went off camera for roll,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 2 (YYR),1.13.22-1.20.22,1.13.22-1.20.22,LM.P2_1.13.22-1.20.22_0028.MP4,,UNK,Y,Y,,1,,,,,,,,,30,,STK,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Mocoras,Pista 2 (YYR),1.13.22-1.20.22,1.13.22-1.20.22,LM.P2_1.13.22-1.20.22_0029.MP4,,YYR,Y,Y,2,1,1,,,,,,,1,30,,STK,
