Index,Folder,Lek,Pista,DateRange,DateRange_Folder,FileName,studyPeriod,Male,PresentYN,DisplayYN,Snaps,quietSnaps,Grunts,Rolls,Calls,FemVisitation,courtshipSuccess,courtshipSuccess2,Copulation,JuvPresent,Gardening,vidLength,Notes,Observer,Unnamed: 24,is_available,local_path
0,CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 4c,12.14.21-12.18.21,12.14.21-12.18.21,L6.P4c_12.14.21-12.18.21_0045.MP4,,WBY,Y,Y,,3.0,,,,2,0,0,,,,30,two green birds visit; neither enter court,HLA,,True,./curated/femvisitation-videos/L6.P4c_12.14.21-12.18.21_0045.MP4
1,CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 2,12.05.21-12.10.21,12.05.21-12.10.21,12.05.21-12.10.21_0049.MP4,,OBY,Y,Y,8.0,2.0,,,,2,2,0,,,,30,I think these are 2 juveniles.. not sure tho,HLA,,True,./curated/femvisitation-videos/12.05.21-12.10.21_0049.MP4
2,CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 4,11.22.21-11.24.21,11.22.21-11.24.21,L6.P4_11.22.21-11.24.21_0021.MP4,,LOU,Y,Y,14.0,5.0,1.0,,,1,0,0,,,,60,female did not join in courtship dance,HLA,,True,./curated/femvisitation-videos/L6.P4_11.22.21-11.24.21_0021.MP4
3,CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 2,11.18.21-11.22.21,11.18.21-11.22.21,11.18.21-11.22.21_0021.MP4,,OBY,Y,Y,4.0,14.0,,4.0,,1,0,0,,,,60,Green bird looking on (unbanded); no indicators of juv male,HLA,,True,./curated/femvisitation-videos/11.18.21-11.22.21_0021.MP4
4,CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 2,11.24.21-11.30.21,11.24.21-11.30.21,11.24.21-11.30.21_0037.MP4,,OBY,Y,Y,,4.0,,2.0,,1,0,0,,,,60,,HLA,,True,./curated/femvisitation-videos/11.24.21-11.30.21_0037.MP4
5,CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 2,12.14.21-12.18.21,12.14.21-12.18.21,12.14.21-12.18.21_0027.MP4,,OBY,Y,Y,,1.0,,1.0,,1,0,0,,,,30,Prob a female visiting?,HLA,,True,./curated/femvisitation-videos/12.14.21-12.18.21_0027.MP4
6,CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 4c,1.15.22-1.20.22,1.15.22-1.20.22,L6.P4c_1.15.22-1.20.22_0011.MP4,,WBY,Y,Y,1.0,,,1.0,,1,0,0,,,,30,"At least one other male also zooming around, potentially encroaching on WBY territory, leading to chase; crazy video",HLA,,True,./curated/femvisitation-videos/L6.P4c_1.15.22-1.20.22_0011.MP4
7,CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 4c,1.15.22-1.20.22,1.15.22-1.20.22,L6.P4c_1.15.22-1.20.22_0035.MP4,,WBY,Y,Y,1.0,2.0,,1.0,1.0,1,0,0,,,,30,"Male flying back and forth from pista, possibly an undescribed display component; likely a female visitation based on how amped the male is, but not totally sure ",HLA,,True,./curated/femvisitation-videos/L6.P4c_1.15.22-1.20.22_0035.MP4
8,CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 4c,12.14.21-12.18.21,12.14.21-12.18.21,L6.P4c_12.14.21-12.18.21_0024.MP4,,WBY,Y,Y,2.0,2.0,,,2.0,1,0,0,,,,30,NOT SURE IF JUV OR FEMALE,HLA,,True,./curated/femvisitation-videos/L6.P4c_12.14.21-12.18.21_0024.MP4
9,CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 4c,12.14.21-12.18.21,12.14.21-12.18.21,L6.P4c_12.14.21-12.18.21_0025.MP4,,WBY,Y,Y,3.0,,1.0,,,1,0,0,,,,30,NOT SURE IF JUV OR FEMALE,HLA,,True,./curated/femvisitation-videos/L6.P4c_12.14.21-12.18.21_0025.MP4
10,CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 4c,12.14.21-12.18.21,12.14.21-12.18.21,L6.P4c_12.14.21-12.18.21_0037.MP4,,WBY,Y,Y,,4.0,,,,1,0,0,,,,30,,HLA,,True,./curated/femvisitation-videos/L6.P4c_12.14.21-12.18.21_0037.MP4
11,CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 4c,12.14.21-12.18.21,12.14.21-12.18.21,L6.P4c_12.14.21-12.18.21_0051.MP4,,WBY,Y,Y,1.0,1.0,,1.0,1.0,1,0,0,,,,30,Female does not enter court,HLA,,True,./curated/femvisitation-videos/L6.P4c_12.14.21-12.18.21_0051.MP4
12,CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 6,11.24.21-11.30.21 (WWR),11.24.21-11.30.21 (WWR),L6.P6_11.24.21-11.30.21_0010-WWR.MP4,,WWR,Y,N,,,,,,1,0,0,,,,60,Green bird present on sidelines; not sure if female; male pooped,HLA,,True,./curated/femvisitation-videos/L6.P6_11.24.21-11.30.21_0010-WWR.MP4
13,CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 3,12.01.21-12.05.21,12.01.21-12.05.21,L6.P3_12.01.21-12.05.21_0006.MP4,,BUR,Y,Y,3.0,,1.0,,,1,1,1,,,,60,female YRG visiting; they danced for a bit,HLA,,True,./curated/femvisitation-videos/L6.P3_12.01.21-12.05.21_0006.MP4
14,CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 4,01.10.22-01.15.22 (BUR took over),01.10.22-01.15.22 (BUR took over),L6.P4_1.10.22-01.15.22_0032.MP4,,BUR,Y,Y,6.0,,1.0,,1.0,1,1,1,,,,30,suspect female because she is always trying to remain above male; flying at points,,,True,./curated/femvisitation-videos/L6.P4_1.10.22-01.15.22_0032.MP4
15,CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 4,01.15.22-01.20.22,01.15.22-01.20.22,L6.P4_1.15.22-01.20.22_0003.MP4,,BUR,Y,Y,5.0,,1.0,,,1,1,1,,,,30,,,,True,./curated/femvisitation-videos/L6.P4_1.15.22-01.20.22_0003.MP4
16,CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 4,01.15.22-01.20.22,01.15.22-01.20.22,L6.P4_1.15.22-01.20.22_0004.MP4,,BUR,Y,Y,5.0,,1.0,,,1,1,1,,,,30,,,,True,./curated/femvisitation-videos/L6.P4_1.15.22-01.20.22_0004.MP4
17,CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 3,12.14.21-12.18.21 (B),12.14.21-12.18.21 (B),L6.P3_12.14.21-12.18.21_0009.MP4,,BYG,Y,Y,3.0,,1.0,,1.0,1,1,0,,,,30,BYG still only has B; could be juvenile male (just get that sense?) but meets criteria for courtshipSuccess so calling female,HLA,,True,./curated/femvisitation-videos/L6.P3_12.14.21-12.18.21_0009.MP4
18,CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 4,"12.01.21-12.05.21 (LOU, then replaced by B)","12.01.21-12.05.21 (LOU, then replaced by B)",L6.P4_12.01.21-12.05.21_0078.MP4,,BYG,Y,Y,6.0,1.0,,1.0,,1,1,0,,,,60,"green unbanded bird; male not waiting for her to lead, he was leaping to other saplings without her leaping toward him; unsure if juv or f, but meets criteria for courtship success",HLA,,True,./curated/femvisitation-videos/L6.P4_12.01.21-12.05.21_0078.MP4
19,CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 4,"12.01.21-12.05.21 (LOU, then replaced by B)","12.01.21-12.05.21 (LOU, then replaced by B)",L6.P4_12.01.21-12.05.21_0083.MP4,,BYG,Y,Y,4.0,4.0,,,1.0,1,1,1,,,,60,Unbanded green bird,HLA,,True,./curated/femvisitation-videos/L6.P4_12.01.21-12.05.21_0083.MP4
20,CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 4,12.05.21-12.10.21,12.05.21-12.10.21,L6.P4_12.05.21-12.10.21_0001-B.MP4,,BYG,Y,Y,1.0,,,,1.0,1,1,1,,,,30,"Female has G on right leg; male is jumping back and forth between saplings silently, waiting for her to join the courtship dance; does make one leap onto male's perch, so counting as courtship success",HLA,,True,./curated/femvisitation-videos/L6.P4_12.05.21-12.10.21_0001-B.MP4
21,CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 4,12.05.21-12.10.21,12.05.21-12.10.21,L6.P4_12.05.21-12.10.21_0005-B.MP4,,BYG,Y,Y,3.0,1.0,,,2.0,1,1,1,,,,30,Unbanded female briefly entered court,HLA,,True,./curated/femvisitation-videos/L6.P4_12.05.21-12.10.21_0005-B.MP4
