Folder,Lek,Pista,DateRange,DateRange_Folder,FileName,studyPeriod,Male,PresentYN,DisplayYN,Snaps,quietSnaps,Grunts,Rolls,Calls,FemVisitation,courtshipSuccess,Copulation,JuvPresent,Gardening,vidLength,Notes,Observer,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 8,Pista 1 (ROO),1.14.22-1.20.22 (fechas incorrectas; 7-8 dias temprano),1.14.22-1.20.22 (fechas incorrectas; 7-8 dias temprano),L8.P1_1.14.22-1.20.22_0001.MP4,,,N,,,,,,,,,,,,30,,NSA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 8,Pista 1 (ROO),1.14.22-1.20.22 (fechas incorrectas; 7-8 dias temprano),1.14.22-1.20.22 (fechas incorrectas; 7-8 dias temprano),L8.P1_1.14.22-1.20.22_0002.MP4,,ROO,Y,Y,2,1,,,,,,,,,30,,NSA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 8,Pista 1 (ROO),1.14.22-1.20.22 (fechas incorrectas; 7-8 dias temprano),1.14.22-1.20.22 (fechas incorrectas; 7-8 dias temprano),L8.P1_1.14.22-1.20.22_0003.MP4,,ROO,Y,Y,1,,,,,,,,,1,30,,NSA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 8,Pista 1 (ROO),1.14.22-1.20.22 (fechas incorrectas; 7-8 dias temprano),1.14.22-1.20.22 (fechas incorrectas; 7-8 dias temprano),L8.P1_1.14.22-1.20.22_0004.MP4,,,N,,,,,,,,,,,,30,,NSA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 8,Pista 1 (ROO),1.14.22-1.20.22 (fechas incorrectas; 7-8 dias temprano),1.14.22-1.20.22 (fechas incorrectas; 7-8 dias temprano),L8.P1_1.14.22-1.20.22_0005.MP4,,ROO,Y,Y,4,,1,,,,,,,1,30,,NSA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 8,Pista 1 (ROO),1.14.22-1.20.22 (fechas incorrectas; 7-8 dias temprano),1.14.22-1.20.22 (fechas incorrectas; 7-8 dias temprano),L8.P1_1.14.22-1.20.22_0006.MP4,,ROO,Y,Y,4,,1,,,,,,,,30,,NSA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 8,Pista 1 (ROO),1.14.22-1.20.22 (fechas incorrectas; 7-8 dias temprano),1.14.22-1.20.22 (fechas incorrectas; 7-8 dias temprano),L8.P1_1.14.22-1.20.22_0007.MP4,,ROO,Y,Y,2,,,,,,,,1,,30,"I think JUV not female because jumping between stems, not using wings, also ROO flew away first",NSA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 8,Pista 1 (ROO),1.14.22-1.20.22 (fechas incorrectas; 7-8 dias temprano),1.14.22-1.20.22 (fechas incorrectas; 7-8 dias temprano),L8.P1_1.14.22-1.20.22_0008.MP4,,ROO,Y,Y,10,,,2,1,,,,,,30,,NSA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 8,Pista 1 (ROO),1.14.22-1.20.22 (fechas incorrectas; 7-8 dias temprano),1.14.22-1.20.22 (fechas incorrectas; 7-8 dias temprano),L8.P1_1.14.22-1.20.22_0009.MP4,,,N,,,,,,,,,,,,30,,NSA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 8,Pista 1 (ROO),1.14.22-1.20.22 (fechas incorrectas; 7-8 dias temprano),1.14.22-1.20.22 (fechas incorrectas; 7-8 dias temprano),L8.P1_1.14.22-1.20.22_0010.MP4,,,N,,,,,,,,,,,,30,,NSA,
