Index,Folder,Lek,Pista,DateRange,DateRange_Folder,FileName,Male,PresentYN,DisplayYN,Snaps,quietSnaps,Grunts,Rolls,Calls,FemVisitation,courtshipSuccess,Copulation,JuvPresent,Gardening,vidLength,Notes,Observer,Unnamed: 22,is_available,local_path
26,Camera Traps 1 -- Dec 2021 to Jan 2022,Lek 6,Pista 3,12.01.21-12.05.21,12.01.21-12.05.21,L6.P3_12.01.21-12.05.21_0006.MP4,BUR,Y,Y,3.0,,1.0,,,1,1.0,,,,60,female YRG visiting; they danced for a bit,HLA,,True,/mnt/c/workspace/eebio/manacus-dynamics/box_data/PROJECT MANACUS/Camera Traps 1 -- Dec 2021 to Jan 2022/Lek 6/Pista 3/12.01.21-12.05.21/L6.P3_12.01.21-12.05.21_0006.MP4
58,Camera Traps 1 -- Dec 2021 to Jan 2022,Lek 6,Pista 4,01.10.22-01.15.22 (BUR took over),01.10.22-01.15.22 (BUR took over),L6.P4_1.10.22-01.15.22_0032.MP4,BUR,Y,Y,6.0,,1.0,,1.0,1,1.0,,,,30,suspect female because she is always trying to remain above male; flying at points,,,True,/mnt/c/workspace/eebio/manacus-dynamics/box_data/PROJECT MANACUS/Camera Traps 1 -- Dec 2021 to Jan 2022/Lek 6/Pista 4/01.10.22-01.15.22 (BUR took over)/L6.P4_1.10.22-01.15.22_0032.MP4
69,Camera Traps 1 -- Dec 2021 to Jan 2022,Lek 6,Pista 4,01.15.22-01.20.22,01.15.22-01.20.22,L6.P4_1.15.22-01.20.22_0003.MP4,BUR,Y,Y,5.0,,1.0,,,1,1.0,,,,30,,,,True,/mnt/c/workspace/eebio/manacus-dynamics/box_data/PROJECT MANACUS/Camera Traps 1 -- Dec 2021 to Jan 2022/Lek 6/Pista 4/01.15.22-01.20.22/L6.P4_1.15.22-01.20.22_0003.MP4
70,Camera Traps 1 -- Dec 2021 to Jan 2022,Lek 6,Pista 4,01.15.22-01.20.22,01.15.22-01.20.22,L6.P4_1.15.22-01.20.22_0004.MP4,BUR,Y,Y,5.0,,1.0,,,1,1.0,,,,30,,,,True,/mnt/c/workspace/eebio/manacus-dynamics/box_data/PROJECT MANACUS/Camera Traps 1 -- Dec 2021 to Jan 2022/Lek 6/Pista 4/01.15.22-01.20.22/L6.P4_1.15.22-01.20.22_0004.MP4
163,Camera Traps 1 -- Dec 2021 to Jan 2022,Lek 6,Pista 3,12.14.21-12.18.21 (B),12.14.21-12.18.21 (B),L6.P3_12.14.21-12.18.21_0009.MP4,BYG,Y,Y,3.0,,1.0,,1.0,1,1.0,,,,30,BYG still only has B; could be juvenile male (just get that sense?) but meets criteria for courtshipSuccess so calling female,HLA,,False,/mnt/c/workspace/eebio/manacus-dynamics/box_data/PROJECT MANACUS/Camera Traps 1 -- Dec 2021 to Jan 2022/Lek 6/Pista 3/12.14.21-12.18.21 (B)/L6.P3_12.14.21-12.18.21_0009.MP4
195,Camera Traps 1 -- Dec 2021 to Jan 2022,Lek 6,Pista 4,"12.01.21-12.05.21 (LOU, then replaced by B)","12.01.21-12.05.21 (LOU, then replaced by B)",L6.P4_12.01.21-12.05.21_0078.MP4,BYG,Y,Y,6.0,1.0,,1.0,,1,1.0,,,,60,"green unbanded bird; male not waiting for her to lead, he was leaping to other saplings without her leaping toward him; unsure if juv or f, but meets criteria for courtship success",HLA,,True,"/mnt/c/workspace/eebio/manacus-dynamics/box_data/PROJECT MANACUS/Camera Traps 1 -- Dec 2021 to Jan 2022/Lek 6/Pista 4/12.01.21-12.05.21 (LOU, then replaced by B)/L6.P4_12.01.21-12.05.21_0078.MP4"
200,Camera Traps 1 -- Dec 2021 to Jan 2022,Lek 6,Pista 4,"12.01.21-12.05.21 (LOU, then replaced by B)","12.01.21-12.05.21 (LOU, then replaced by B)",L6.P4_12.01.21-12.05.21_0083.MP4,BYG,Y,Y,4.0,4.0,,,1.0,1,1.0,,,,60,Unbanded green bird,HLA,,True,"/mnt/c/workspace/eebio/manacus-dynamics/box_data/PROJECT MANACUS/Camera Traps 1 -- Dec 2021 to Jan 2022/Lek 6/Pista 4/12.01.21-12.05.21 (LOU, then replaced by B)/L6.P4_12.01.21-12.05.21_0083.MP4"
213,Camera Traps 1 -- Dec 2021 to Jan 2022,Lek 6,Pista 4,12.05.21-12.10.21,12.05.21-12.10.21,L6.P4_12.05.21-12.10.21_0001-B.MP4,BYG,Y,Y,1.0,,,,1.0,1,1.0,,,,30,"Female has G on right leg; male is jumping back and forth between saplings silently, waiting for her to join the courtship dance; does make one leap onto male's perch, so counting as courtship success",HLA,,True,/mnt/c/workspace/eebio/manacus-dynamics/box_data/PROJECT MANACUS/Camera Traps 1 -- Dec 2021 to Jan 2022/Lek 6/Pista 4/12.05.21-12.10.21/L6.P4_12.05.21-12.10.21_0001-B.MP4
217,Camera Traps 1 -- Dec 2021 to Jan 2022,Lek 6,Pista 4,12.05.21-12.10.21,12.05.21-12.10.21,L6.P4_12.05.21-12.10.21_0005-B.MP4,BYG,Y,Y,3.0,1.0,,,2.0,1,1.0,,,,30,Unbanded female briefly entered court,HLA,,True,/mnt/c/workspace/eebio/manacus-dynamics/box_data/PROJECT MANACUS/Camera Traps 1 -- Dec 2021 to Jan 2022/Lek 6/Pista 4/12.05.21-12.10.21/L6.P4_12.05.21-12.10.21_0005-B.MP4
329,Camera Traps 1 -- Dec 2021 to Jan 2022,Lek 6,Pista 4b,12.18.21-12.24.21,12.18.21-12.24.21,L6.P4b_12.18.21-12.24.21__0006.MP4,BYG,Y,Y,2.0,,1.0,,,1,1.0,,,,30,Unbanded green bird; BYG still only has B,HLA,,True,/mnt/c/workspace/eebio/manacus-dynamics/box_data/PROJECT MANACUS/Camera Traps 1 -- Dec 2021 to Jan 2022/Lek 6/Pista 4b/12.18.21-12.24.21/L6.P4b_12.18.21-12.24.21__0006.MP4
