Folder,Lek,Pista,DateRange,DateRange_Folder,FileName,studyPeriod,Male,PresentYN,DisplayYN,Snaps,quietSnaps,Grunts,Rolls,Calls,FemVisitation,courtshipSuccess,Copulation,JuvPresent,Gardening,vidLength,Notes,Observer,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 4,12.28.21-01.10.22,12.28.21-01.10.22,L6.P4_12.28.21-01.10.22_0015.MP4,,?,Y,N,,,,,,,,,,,30,,"ER, HLA",
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 4,12.28.21-01.10.22,12.28.21-01.10.22,L6.P4_12.28.21-01.10.22_0024.MP4,,?,Y,N,,,,,,,,,,1,30,,ER,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 4,12.28.21-01.10.22,12.28.21-01.10.22,L6.P4_12.28.21-01.10.22_0030.MP4,,?,Y,N,,,,,,,,,,,30,,ER,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 4,11.26.21-11.30.21,11.26.21-11.30.21,L6.P4_11.26.21-11.30.21_0005.MP4,,BYG,Y,Y,10,,1,,1,,,,,,60,male still only has one black band; eventually becomes BYG,EVR,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 4,12.28.21-01.10.22,12.28.21-01.10.22,L6.P4_12.28.21-01.10.22_0097-BYG?BUR?.MP4,,BUR,Y,Y,13,,2,,,,,,,,30,small downward slide after last grunt. Most likely BUR (red is hardest to see with nightvision and right  band blends in with leg,ER,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,BRY Pista (otro lado de carretera),01.12.22-01.20.22,01.12.22-01.20.22,RCNX0001.AVI,,BRY,Y,Y,1,,,1,,,,,,,9,,NSA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,BRY Pista (otro lado de carretera),01.12.22-01.20.22,01.12.22-01.20.22,RCNX0002.AVI,,BRY,Y,Y,,1,,,,,,,,,9,,NSA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,BRY Pista (otro lado de carretera),01.12.22-01.20.22,01.12.22-01.20.22,RCNX0003.AVI,,BRY,Y,N,,,,,,,,,,,9,,NSA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,BRY Pista (otro lado de carretera),01.12.22-01.20.22,01.12.22-01.20.22,RCNX0004.AVI,,BRY,Y,Y,3,,1,,,,,,,,9,,NSA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,BRY Pista (otro lado de carretera),01.12.22-01.20.22,01.12.22-01.20.22,RCNX0005.AVI,,BRY,Y,Y,2,,,,,,,,,,9,,NSA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,BRY Pista (otro lado de carretera),01.12.22-01.20.22,01.12.22-01.20.22,RCNX0007.AVI,,BRY,Y,Y,5,,1,,,,,,,,9,,NSA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,BRY Pista (otro lado de carretera),01.12.22-01.20.22,01.12.22-01.20.22,RCNX0008.AVI,,BRY,Y,Y,2,1,,,,,,,,,9,,NSA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 2,1.10.22-1.15.22,1.10.22-1.15.22,1.10.22-1.15.22_0015-BUR.MP4,,BUR,Y,Y,2,,,,,,,,,,30,,HLA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 2,1.15.22-1.20.22,1.15.22-1.20.22,1.15.22-1.20.22_0006.MP4,,BUR,Y,Y,5,,,,,,,,,,30,,HLA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 2,1.15.22-1.20.22,1.15.22-1.20.22,1.15.22-1.20.22_0007.MP4,,BUR,Y,N,,,,,,,,,,,30,,HLA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 2,1.15.22-1.20.22,1.15.22-1.20.22,1.15.22-1.20.22_0008.MP4,,BUR,Y,Y,2,2,,,,,,,,,30,,HLA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 3,11.18.21-11.22.21,11.18.21-11.22.21,L6.P3_11.18.21-11.22.21_0020.MP4,,BUR,Y,Y,5,1,1,,,,,,,,60,,HLA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 3,11.18.21-11.22.21,11.18.21-11.22.21,L6.P3_11.18.21-11.22.21_BUR-2.MP4,,BUR,Y,Y,1,,,,,,,,,,60,,HLA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 3,11.18.21-11.22.21,11.18.21-11.22.21,L6.P3_11.18.21-11.22.21_BUR-3.MP4,,BUR,Y,Y,5,,1,,,,,,,1,60,These are all 1-min videos,HLA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 3,11.18.21-11.22.21,11.18.21-11.22.21,L6.P3_11.18.21-11.22.21_Manacus-1-gardening.MP4,,BUR,Y,Y,4,,,,,,,,,2,60,,HLA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 3,11.22.21-11.24.21,11.22.21-11.24.21,L6.P3_11.22.21-11.24.21_0002.MP4,,BUR,Y,Y,6,3,3,,1,,,,,,60,May have made a Lepi-like call as he dropped down into the pista; have heard BUR doing this in other videos as well (in Pista 4) but I did not think it was him..,HLA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 3,11.22.21-11.24.21,11.22.21-11.24.21,L6.P3_11.22.21-11.24.21_0005.MP4,,BUR,Y,Y,2,2,,,1,,,,,,60,Lepi-like call,HLA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 3,11.24.21-11.30.21,11.24.21-11.30.21,L6.P3_11.24.21-11.30.21_0001.MP4,,BUR,Y,Y,11,,3,,,,,,,,60,,HLA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 3,11.24.21-11.30.21,11.24.21-11.30.21,L6.P3_11.24.21-11.30.21_0012.MP4,,BUR,Y,Y,6,4,1,,1,,,,,,60,Lepi-like call,HLA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek 6,Pista 3,11.24.21-11.30.21,11.24.21-11.30.21,L6.P3_11.24.21-11.30.21_0014.MP4,,BUR,Y,Y,5,2,2,1,1,,,,,,60,,HLA,
