Folder,Lek,Pista,DateRange,DateRange_Folder,FileName,studyPeriod,Male,PresentYN,DisplayYN,Snaps,quietSnaps,Grunts,Rolls,Calls,FemVisitation,courtshipSuccess,Copulation,JuvPresent,Gardening,vidLength,Notes,Observer,Additional_Notes
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Cabanas,Pista 2 (unbanded),1.13.22-1.17.22 (camara no funciono del 1.17-1.19),1.13.22-1.17.22 (camara no funciono del 1.17-1.19),IMG_0001.MP4,,,N,,,,,,,,,,,,30,,HLA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Cabanas,Pista 2 (unbanded),1.13.22-1.17.22 (camara no funciono del 1.17-1.19),1.13.22-1.17.22 (camara no funciono del 1.17-1.19),IMG_0002.MP4,,Unbanded,Y,N,,,,,,,,,,,30,,HLA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Cabanas,Pista 2 (unbanded),1.13.22-1.17.22 (camara no funciono del 1.17-1.19),1.13.22-1.17.22 (camara no funciono del 1.17-1.19),IMG_0003.MP4,,Unbanded,Y,N,,,,,2,,,,,,30,,HLA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Cabanas,Pista 2 (unbanded),1.13.22-1.17.22 (camara no funciono del 1.17-1.19),1.13.22-1.17.22 (camara no funciono del 1.17-1.19),IMG_0004.MP4,,,N,,,,,,,,,,,,30,,HLA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Cabanas,Pista 2 (unbanded),1.13.22-1.17.22 (camara no funciono del 1.17-1.19),1.13.22-1.17.22 (camara no funciono del 1.17-1.19),IMG_0005.MP4,,Unbanded,Y,N,,,,,,,,,,,30,,HLA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Cabanas,Pista 2 (unbanded),1.13.22-1.17.22 (camara no funciono del 1.17-1.19),1.13.22-1.17.22 (camara no funciono del 1.17-1.19),IMG_0006.MP4,,Unbanded,Y,Y,9,2,,,1,1,1,,,,30,Female banded; can't tell ID,HLA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Cabanas,Pista 2 (unbanded),1.13.22-1.17.22 (camara no funciono del 1.17-1.19),1.13.22-1.17.22 (camara no funciono del 1.17-1.19),IMG_0007.MP4,,Unbanded,Y,N,,,,,,,,,,,30,,HLA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Cabanas,Pista 2 (unbanded),1.13.22-1.17.22 (camara no funciono del 1.17-1.19),1.13.22-1.17.22 (camara no funciono del 1.17-1.19),IMG_0008.MP4,,Unbanded,Y,N,,,,,,,,,,,30,,HLA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Cabanas,Pista 2 (unbanded),1.13.22-1.17.22 (camara no funciono del 1.17-1.19),1.13.22-1.17.22 (camara no funciono del 1.17-1.19),IMG_0009.MP4,,Unbanded,Y,N,,,,,14,,,,,,30,,HLA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Cabanas,Pista 2 (unbanded),1.13.22-1.17.22 (camara no funciono del 1.17-1.19),1.13.22-1.17.22 (camara no funciono del 1.17-1.19),IMG_0010.MP4,,,N,,,,,,,,,,,,30,,HLA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Cabanas,Pista 2 (unbanded),1.13.22-1.17.22 (camara no funciono del 1.17-1.19),1.13.22-1.17.22 (camara no funciono del 1.17-1.19),IMG_0011.MP4,,Unbanded,Y,Y,,,,1,,,,,,,30,,HLA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Cabanas,Pista 2 (unbanded),1.13.22-1.17.22 (camara no funciono del 1.17-1.19),1.13.22-1.17.22 (camara no funciono del 1.17-1.19),IMG_0012.MP4,,Unbanded,Y,Y,,,,1,,1,0,,,,30,Green bird briefly present; unsure if female or juv,HLA,
CAMARAS TRAMPAS - Dec 21-Jan 22,Lek Cabanas,Pista 2 (unbanded),1.13.22-1.17.22 (camara no funciono del 1.17-1.19),1.13.22-1.17.22 (camara no funciono del 1.17-1.19),IMG_0013.MP4,,,,,,,,,,,,,,,30,,HLA,
