label,label_id,box_xtl,box_ytl,box_xbr,box_ybr,confidence,frame_id
Male,0,700,502,815,620,0.75631756,0
Male,0,703,497,807,609,0.5803756,1
Female,1,61,251,145,314,0.4672695,1
Female,1,62,251,146,315,0.5882201,2
Male,0,708,498,814,605,0.48130032,2
Female,1,62,252,144,315,0.59660673,3
Male,0,715,487,831,592,0.3351005,3
Female,1,62,253,143,315,0.60392785,4
Female,1,702,435,808,513,0.34735423,4
Female,1,62,253,144,315,0.58011806,5
Female,1,702,434,808,513,0.30366862,5
Female,1,63,253,143,315,0.61453974,6
Female,1,64,253,145,315,0.58648276,7
Female,1,64,253,145,315,0.5791368,8
Female,1,703,434,809,512,0.3111977,8
Female,1,62,253,143,315,0.54497695,9
Female,1,64,254,143,315,0.54757446,10
Female,1,62,254,142,315,0.5526369,11
Female,1,62,254,142,315,0.56273574,12
Female,1,63,254,143,315,0.5468727,13
Female,1,64,254,143,315,0.51850647,14
Female,1,702,435,808,513,0.30411124,14
Female,1,64,254,143,315,0.556063,15
Female,1,703,435,808,512,0.3565937,15
Female,1,66,254,145,316,0.53499126,16
Female,1,703,434,808,512,0.3468588,16
Female,1,65,253,145,315,0.52352685,17
Female,1,702,434,808,512,0.36487544,17
Female,1,67,255,147,316,0.48661926,18
Female,1,702,435,807,513,0.36587805,18
Female,1,66,255,146,316,0.5024028,19
Female,1,702,435,807,513,0.33873695,19
Female,1,66,255,146,316,0.57258815,20
Female,1,702,434,807,512,0.32188073,20
Female,1,65,254,145,316,0.54546076,21
Female,1,702,434,807,512,0.30580914,21
Female,1,64,253,145,316,0.570498,22
Female,1,64,253,145,315,0.5115521,23
Female,1,64,253,145,315,0.50727636,24
Female,1,64,254,145,316,0.5039781,25
Male,0,1839,728,1920,827,0.32812312,25
Male,0,1846,705,1920,823,0.6668669,26
Female,1,64,253,145,315,0.5528016,26
Male,0,1846,702,1920,824,0.6681211,27
Female,1,64,253,146,315,0.5301488,27
Male,0,1850,708,1920,825,0.6939292,28
Female,1,64,254,145,316,0.5312429,28
Male,0,1850,707,1920,823,0.7034682,29
Female,1,64,254,144,316,0.57578886,29
Female,1,702,434,808,512,0.3140007,29
Male,0,1849,705,1920,823,0.7045753,30
Female,1,65,253,147,316,0.59488726,30
Male,0,1850,706,1920,824,0.70000327,31
Female,1,66,254,147,317,0.6041538,31
Female,1,702,434,808,512,0.33951718,31
Male,0,1850,706,1920,823,0.70454836,32
Female,1,66,254,146,317,0.6211232,32
Male,0,1850,706,1920,823,0.7026338,33
Female,1,65,254,146,316,0.49697527,33
Male,0,1851,706,1920,823,0.70338714,34
Female,1,66,254,147,316,0.49215472,34
Female,1,702,436,807,513,0.33439982,34
Male,0,1851,706,1920,823,0.7017511,35
Female,1,66,255,147,316,0.44627994,35
Female,1,702,435,807,513,0.31015956,35
Male,0,1851,706,1920,823,0.71128726,36
Female,1,66,254,147,316,0.5090294,36
Female,1,702,435,807,513,0.30654818,36
Male,0,1851,707,1920,823,0.7098035,37
Female,1,68,254,148,316,0.5517068,37
Female,1,702,436,807,513,0.3006459,37
Male,0,1851,708,1920,823,0.7117078,38
Female,1,66,255,146,316,0.5328631,38
Male,0,1851,707,1920,823,0.7156766,39
Female,1,65,254,145,316,0.52556676,39
Male,0,1851,707,1920,823,0.7260624,40
Female,1,66,254,147,316,0.5029719,40
Male,0,1853,708,1920,824,0.72777265,41
Female,1,66,254,146,315,0.47909507,41
Female,1,64,254,144,316,0.5549096,42
Male,0,1845,715,1920,824,0.5071138,42
Female,1,64,254,144,316,0.58092356,43
Female,1,66,254,145,316,0.5429368,44
Female,1,702,435,807,513,0.31902367,44
Female,1,65,254,146,316,0.6185556,45
Female,1,702,434,808,512,0.30498302,45
Female,1,65,254,146,316,0.5836629,46
Female,1,64,253,146,316,0.56871927,47
Female,1,65,253,147,316,0.5931093,48
Female,1,702,435,808,512,0.3182085,48
Female,1,65,254,146,316,0.57513905,49
Female,1,702,435,808,513,0.31918278,49
Female,1,65,254,145,315,0.5506787,50
Female,1,64,254,145,315,0.57653993,51
Female,1,702,434,808,512,0.30970842,51
Female,1,64,254,145,316,0.54477996,52
Female,1,65,254,145,315,0.5333688,53
Female,1,702,435,808,512,0.30739582,53
Female,1,64,254,144,315,0.5223543,54
Female,1,702,434,807,512,0.30611587,54
Female,1,65,255,144,315,0.5234707,55
Female,1,702,434,807,512,0.3132446,55
Female,1,66,254,146,315,0.4637378,56
Female,1,66,254,146,315,0.4703393,57
Female,1,66,255,146,316,0.5210502,58
Female,1,66,255,146,316,0.5225475,59
Male,0,1498,327,1574,396,0.42255193,59
Female,1,62,253,143,315,0.5688927,60
Male,0,1488,328,1566,397,0.43468544,60
Female,1,62,253,143,315,0.5855179,61
Male,0,1498,337,1567,398,0.36276907,61
Female,1,702,435,808,512,0.30680725,61
Female,1,65,254,145,316,0.58001065,62
Male,0,1510,341,1568,398,0.37795433,62
Male,0,1510,335,1576,396,0.5929003,63
Female,1,64,254,146,316,0.54333484,63
Male,0,1510,335,1575,395,0.6097544,64
Female,1,65,254,145,316,0.5358646,64
Male,0,1509,335,1575,394,0.6266881,65
Female,1,64,254,145,316,0.57161355,65
Male,0,1510,333,1576,394,0.6359855,66
Female,1,64,254,145,316,0.5648632,66
Male,0,1510,333,1577,394,0.6174357,67
Female,1,64,254,144,316,0.5426424,67
Male,0,1510,334,1576,394,0.61903393,68
